LocationName,ProductCount,LocationStockAvailable,ProductsBelowAlertPoint,ProductsOutOfStock,AvgCostPrice,AvgRetailPrice,LocationTotalCostValue,LocationTotalRetailValue,TotalProductCount,TotalLocationStockAvailable,TotalProductsBelowAlertPoint,TotalProductsOutOfStock,TotalAvgCostPrice,TotalAvgRetailPrice,TotalLocationTotalCostValue,TotalLocationTotalRetailValue
Scanlon Hair,332,432.00,53,33,37.69,,189.79,,332,432.00,53,33,37.69,,189.79,

ProductName,SkuHandle,ProductLocation,StockAvailable,ReorderAlertThreshold,Textbox49,UnitCostPrice,UnitRetailPrice,TotalCostValue,TotalRetailValue,TotalStockAvailable,Textbox50,TotalUnitCostPrice,TotalUnitRetailPrice,TotalTotalCostValue,TotalTotalRetailValue
"Inoa 6,35",3474630529939,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 6,40",3474630481572,Scanlon Hair,1.00,0,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 6,42",3474630482470,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 6,45",3474630415249,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 6,46",3474630415348,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 6,64",3474630447356,Scanlon Hair,2.00,0,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 6,8",3474630541023,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Inoa 7,3474630415546,Scanlon Hair,4.00,4,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,0",3474630491816,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,07",3474630568129,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,1",3474630415645,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,11 Blond Resist",3474636383108,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,13",3474630415744,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,18",3474630696365,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,23",,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,3",3474630660748,Scanlon Hair,1.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,31",3474630416048,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,34",3474630447455,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,35",3474630416147,Scanlon Hair,1.00,0,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,4",3474630642454,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,43",3474630416246,Scanlon Hair,2.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,44",3474630482401,Scanlon Hair,2.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,45",3474630482272,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 7,8",3474630541122,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Inoa 8,3474630416345,Scanlon Hair,3.00,4,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 8,0",3474630642850,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 8,1",3474630416444,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 8,11",3474630568525,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 8,13",3474630447554,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 8,21 Blond Resist",3474636383085,Scanlon Hair,2.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 8,23",3474630484214,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 8,3",,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 8,31",,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 8,34",,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
