LocationName,ProductCount,LocationStockAvailable,ProductsBelowAlertPoint,ProductsOutOfStock,AvgCostPrice,AvgRetailPrice,LocationTotalCostValue,LocationTotalRetailValue,TotalProductCount,TotalLocationStockAvailable,TotalProductsBelowAlertPoint,TotalProductsOutOfStock,TotalAvgCostPrice,TotalAvgRetailPrice,TotalLocationTotalCostValue,TotalLocationTotalRetailValue
Scanlon Hair,189,316.00,21,34,19.19,34.86,"1,000.51","11,884.70",189,316.00,21,34,19.19,34.86,"1,000.51","11,884.70"

ProductName,SkuHandle,ProductLocation,StockAvailable,ReorderAlertThreshold,Textbox49,UnitCostPrice,UnitRetailPrice,TotalCostValue,TotalRetailValue,TotalStockAvailable,Textbox50,TotalUnitCostPrice,TotalUnitRetailPrice,TotalTotalCostValue,TotalTotalRetailValue
LOR SE Shine Blonde Shampoo 250ml,3474636404407,Scanlon Hair,5.00,2,2.36,,26.00,,130.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Silver Shampoo 300ml,3474636502844,Scanlon Hair,2.00,2,2.64,29.00,29.00,58.00,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Vit Col AOX 10 in 1 Spray,3474636483839,Scanlon Hair,4.00,4,2.82,,31.00,,124.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Vit Col AOX Color Correct Blonde 150ml,3474636483778,Scanlon Hair,8.00,4,2.36,,26.00,,208.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Vit Col AOX Color Corrector Brunettes 150ml,3474636483815,Scanlon Hair,2.00,2,2.36,,26.00,,52.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Vit Col AOX Conditioner 200ml,3474636483648,Scanlon Hair,1.00,3,2.64,10.97,29.00,10.97,29.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Vit Col AOX Masque 200ml,3474630714762,Scanlon Hair,1.00,2,0.00,,31.00,,31.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Vit Col AOX Shampoo 300ml,3474636483891,Scanlon Hair,0.00,3,2.64,10.97,29.00,0.00,0.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Vitamino Color Masque 200ml,3474630307476,Scanlon Hair,1.00,0,0.00,,31.00,,31.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Volumetry Conditioner 200ml,3474636505890,Scanlon Hair,2.00,3,2.64,10.97,29.00,21.94,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Volumetry Root Lift Spray 125ml,3474630527584,Scanlon Hair,1.00,1,2.36,,26.00,,26.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Volumetry Shampoo 300ml,3474636505876,Scanlon Hair,2.00,3,2.64,10.97,29.00,21.94,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR Smartbond Conditioner 250ml,3474636452842,Scanlon Hair,7.00,4,4.09,45.00,45.00,315.00,315.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR Steampod,3474630657632,Scanlon Hair,4.00,,30.00,,330.00,,"1,320.00",316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SX Coloured Hair Conditioner 250ml,3474630643291,Scanlon Hair,1.00,2,3.09,,34.00,,34.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SX Coloured Hair Shampoo 250ml,,Scanlon Hair,0.00,2,3.09,,34.00,,0.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SX Denser Hair Gelee 90ml,3474636432905,Scanlon Hair,1.00,2,5.45,,60.00,,60.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SX Natural Hair Conditioner 250ml,3474630643253,Scanlon Hair,2.00,1,3.09,,34.00,,68.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SX Natural Hair Shampoo 250ml,3474630643161,Scanlon Hair,2.00,1,3.09,,34.00,,68.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SX Thicker Hair 90ml,3474630643659,Scanlon Hair,2.00,2,5.45,,60.00,,120.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR TA Dual Stylers Sleek and Swing 150ml,3474630648418,Scanlon Hair,2.00,3,3.18,,34.95,,69.90,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
