Textbox3,Textbox56,Textbox61,Textbox64,Textbox21,Textbox79,Textbox84,Textbox87,Textbox90,Textbox22,Textbox93,Name1,Handle,StartingStock1,NewStock1,Return1,Transfer1,AdjustmentIncrease1,OtherIncrease1,InternalUse1,Damaged1,OutOfDate1,Sold1,Removed1,AdjustmentDecrease,Textbox24,OtherDecrease1,EndStock1,Textbox7,Textbox8,Textbox9,Textbox10,Textbox11,Textbox12,Textbox13,Textbox14,Textbox15,Textbox16,Textbox17,Textbox18,Textbox25,Textbox19,Textbox20
,,,,,,,,,,,LOR SX Thicker Hair 90ml,3474630643659,-3,,,,5,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA Dual Stylers Sleek and Swing 150ml,3474630648418,,4,,,,,1,,,2,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA DualStylers Bouncy & Tender 150ml,3474630648371,,3,,,,,,,,1,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA DualStylers Liss & Push Up 150ml,3474630648456,-21,2,,,26,,1,,,3,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA Fix Air Fix 400ml,3474630625082,,,,,2,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA Fix Anti-Frizz 250ml,3474630624979,,,,,2,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA Fix Design 200ml,3474630613638,2,,,,4,,,,,,,,,,6,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA Fix Deviation Paste 100ml,3474630632196,-24,,,,26,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA Fix Web 150ml,3474630614727,-1,1,,,2,,,,,1,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA French Girl Messy Cliche 150ml,3474636370597,,,,,1,,,,,1,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA Smooth Liss Control 150ml,3474630623026,-41,2,,,3,44,,,,4,,,,,4,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA Smooth Liss Control+ 50ml,3474630623095,-3,,,,4,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA Texture Morning After Dust 200ml,3474636108374,-5,,,,6,,,,,1,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA Volume Architect 150ml,3474630631809,-22,1,,,26,,,,,2,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA Volume Density Material 100ml,3474630618695,,2,,,,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA Volume Full Volume Extra 250ml,3474630614543,,2,,,,,,,,1,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA Volume Pli 190ml,3474630736221,-55,2,,,62,,,,,6,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA Volume Super Dust 7g,3474630614611,-9,,,,10,,,,,1,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA WildStylers 60's Babe 250ml,3474636355969,,1,,,,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA WildStylers Beach Waves 150ml,3474630618435,-11,,,,15,,,,,1,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA WildStylers Crepage De Chignon 200ml,3474630631847,-11,1,,,14,,,,,2,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA WildStylers Depolish 100ml,3474630618473,-33,4,,,40,,,,,8,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA WildStylers Next Day Hair 250ml,3474630618329,,,,,2,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA WildStylers Powder In Lotion 150ml,3474636501953,1,,,,,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA WildStylers Scruff Me 150ml,3474630618213,-3,,,,5,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Makeup Eraser Mini 3 pack,858622006425,1,,,,,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,MOR Ceramic Ionic Brush Round 25ml,9327417015122,,,,,2,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,MOR Dry Scalp Treatment 45ml,7290011521165,-2,,,,3,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,MOR Intense Curl Cream 300ml,7290011521042,,12,,,,,,,,,,,,,12,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,MOR Oily Scalp Treatment 45ml,7290011521172,2,,,,1,,,,,,,1,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,MOR Repair Conditioner,7290011521202,-1,,,,2,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,MOR Treatment  100ml,7290011521011,-26,,,,34,,,,,,,,,,8,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,MOR Treatment 25ml,7290011521127,-7,,,,9,,,,,2,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
