"id","created_at","updated_at","supplier","barcode","product_range","display_name","order_name","supplier_sequence","discontinued","product_usage","current_max_stock","current_stock_available","current_cost_price","current_retail_price"
"87","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630442467","Dia Richesse","Dia Richesse 7,32","","04.01.42","0","Professional","1","2",\N,"0.00"
"88","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630570443","Dia Richesse","Dia Richesse 7,8","","04.01.43","0","Professional","1","1",\N,"0.00"
"89","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630398191","Dia Richesse","Dia Richesse 8","","04.01.44","0","Professional","4","4",\N,"0.00"
"90","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630457522","Dia Richesse","Dia Richesse 8,02","","04.01.45","0","Professional","2","1",\N,"0.00"
"91","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630479579","Dia Richesse","Dia Richesse 8,13","","04.01.46","0","Professional","1","1",\N,"0.00"
"92","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630479173","Dia Richesse","Dia Richesse 8,3","","04.01.47","0","Professional","1","1",\N,"0.00"
"93","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630398498","Dia Richesse","Dia Richesse 8,31","","04.01.48","0","Professional","1","1",\N,"0.00"
"94","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630478633","Dia Richesse","Dia Richesse 9","","04.01.49","0","Professional","2","2",\N,"0.00"
"95","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630549241","Dia Richesse","Dia Richesse 9,01","","04.01.50","0","Professional","1","2",\N,"0.00"
"96","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630549357","Dia Richesse","Dia Richesse 9,02","","04.01.51","0","Professional","1","1",\N,"0.00"
"97","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630479470","Dia Richesse","Dia Richesse 9,13","","04.01.52","0","Professional","1","1",\N,"0.00"
"98","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630442665","Dia Richesse","Dia Richesse 9,31","","04.01.53","0","Professional","1","2",\N,"0.00"
"99","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630398290","Dia Richesse","Dia Richesse Clear","","04.01.05","0","Professional","2","2",\N,"0.00"
"100","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474636608669","Dia Richesse","Dia Richesse S11","","04.01.03","0","Professional","1","1",\N,"0.00"
"101","2018-10-14 12:38:32","2018-10-15 10:37:17","Unknown","9345892000228","Unknown","EVY QuadTech Brush 33mm","","","0","",\N,"0",\N,"44.95"
"102","2018-10-14 12:38:32","2018-10-15 10:37:17","Unknown","9345892000204","Unknown","EVY QuadTech Brush 43mm","","","0","",\N,"0",\N,"44.95"
"103","2018-10-14 12:38:32","2018-10-15 10:37:17","Unknown","9345892000198","Unknown","EVY QuadTech Brush 53mm","","","0","",\N,"0",\N,"44.95"
"104","2018-10-14 12:38:32","2018-10-15 10:37:17","Unknown","9345892000266","Unknown","EVY Schima Mixed Bristle Round Brush 25mm","","","0","",\N,"1",\N,"49.95"
"105","2018-10-14 12:38:32","2018-10-15 10:37:17","Unknown","9345892000273","Unknown","EVY Schima Mixed Bristle Round Brush 30mm","","","0","",\N,"2",\N,"49.95"
"106","2018-10-14 12:38:32","2018-10-15 10:37:17","Unknown","9345892000280","Unknown","EVY Schima Mixed Bristle Round Brush 40mm","","","0","",\N,"0",\N,"49.95"
"107","2018-10-14 12:38:32","2018-10-15 10:37:17","Unknown","5060356733156","Unknown","GHD Platinum Styler","","","0","",\N,"1",\N,"315.00"
"108","2018-10-14 12:38:32","2018-10-15 10:37:17","Unknown","5060034527442","Unknown","GHD Style Final Shine Spray 100ml","","","0","",\N,"2",\N,"20.00"
"109","2018-10-14 12:38:32","2018-10-15 10:37:17","Unknown","5060034520092","Unknown","GHD V Gold Styler Gift Set","","","0","",\N,"2",\N,"269.00"
"110","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630412118","Inoa","Inoa 1","","02.01.04","0","Professional","1","1",\N,"0.00"
"111","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630412217","Inoa","Inoa 10","","02.01.79","0","Professional","1","1",\N,"0.00"
"112","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630484016","Inoa","Inoa 10,01","","02.01.80","0","Professional","1","2",\N,"0.00"
"113","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474636383078","Inoa","Inoa 10,23 Blond Resist","Inoa 10,23 Blond Resist","02.01.81","0","Professional","1","1",\N,"0.00"
"114","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630412644","Inoa","Inoa 3","","02.01.05","0","Professional","2","2",\N,"0.00"
"115","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630412743","Inoa","Inoa 4","","02.01.06","0","Professional","2","1",\N,"0.00"
"116","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630462366","Inoa","Inoa 4,0","","02.01.07","0","Professional","1","1",\N,"0.00"
"117","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630568020","Inoa","Inoa 4,07","","","1","Professional","0","1",\N,"0.00"
"118","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630412842","Inoa","Inoa 4,15","","02.01.08","0","Professional","1","1",\N,"0.00"
"119","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630412941","Inoa","Inoa 4,20","","02.01.09","0","Professional","1","1",\N,"0.00"
"120","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630413146","Inoa","Inoa 4,3","","02.01.10","0","Professional","1","2",\N,"0.00"
"121","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630413344","Inoa","Inoa 4,45","","02.01.11","0","Professional","1","1",\N,"0.00"
"122","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474636403844","Inoa","Inoa 4,56","Inoa 4,56 Marron Resist","02.01.12","0","Professional","1","1",\N,"0.00"
"123","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630696167","Inoa","Inoa 4,8","","02.01.13","0","Professional","1","1",\N,"0.00"
"124","2018-10-14 12:38:32","2018-10-15 10:37:17","L'Oreal","3474630413641","Inoa","Inoa 5","","02.01.14","0","Professional","3","2",\N,"0.00"
